Starting_Point,Ending_Point,PassCompletion,Team,TypeOfPass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 58)","(30, 58)",no pass attempted,Blue,Normal Pass
"(29, 58)","(29, 58)",no pass attempted,Blue,Normal Pass
"(28, 57)","(28, 57)",no pass attempted,Blue,Normal Pass
"(28, 57)","(28, 57)",no pass attempted,Blue,Normal Pass
"(28, 57)","(28, 57)",no pass attempted,Blue,Normal Pass
"(27, 57)","(27, 57)",no pass attempted,Blue,Normal Pass
"(27, 57)","(34, 44)",pass completed,Blue,Normal Pass
"(30, 45)","(30, 45)",no pass attempted,Blue,Normal Pass
