frame,x,y,,,,,,,,,,,,,,,,,,,,
38,103.173913,37.83783784,,,,,,,,,,,,,,,,,,,,
38,101.2173913,48.51351351,,,,,,,,,,,,,,,,,,,,
38,109.5652174,39.86486486,,,,,,,,,,,,,,,,,,,,
38,101.2173913,48.91891892,,,,,,,,,,,,,,,,,,,,
39,109.173913,48.78378378,,,,,,,,,,,,,,,,,,,,
39,103.3043478,37.7027027,,,,,,,,,,,,,,,,,,,,
39,101.2173913,48.37837838,,,,,,,,,,,,,,,,,,,,
39,109.5652174,40.13513514,,,,,,,,,,,,,,,,,,,,
39,101.3478261,48.78378378,,,,,,,,,,,,,,,,,,,,
40,109.4347826,48.64864865,,,,,,,,,,,,,,,,,,,,
40,103.3043478,37.7027027,,,,,,,,,,,,,,,,,,,,
40,101.3478261,48.24324324,,,,,,,,,,,,,,,,,,,,
40,109.4347826,40.67567568,,,,,,,,,,,,,,,,,,,,
40,101.4782609,48.51351351,,,,,,,,,,,,,,,,,,,,
41,103.173913,38.51351351,,,,,,,,,,,,,,,,,,,,
41,109.3043478,48.51351351,,,,,,,,,,,,,,,,,,,,
41,101.6086957,48.37837838,,,,,,,,,,,,,,,,,,,,
41,110.6086957,39.72972973,,,,,,,,,,,,,,,,,,,,
42,103.3043478,38.51351351,,,,,,,,,,,,,,,,,,,,
42,109.5652174,48.24324324,,,,,,,,,,,,,,,,,,,,
42,101.7391304,48.24324324,,,,,,,,,,,,,,,,,,,,
42,110.2173913,40.54054054,,,,,,,,,,,,,,,,,,,,
43,103.3043478,38.51351351,,,,,,,,,,,,,,,,,,,,
43,109.5652174,48.10810811,,,,,,,,,,,,,,,,,,,,
43,101.8695652,48.24324324,,,,,,,,,,,,,,,,,,,,
43,109.9565217,41.21621622,,,,,,,,,,,,,,,,,,,,
44,109.5652174,48.64864865,,,,,,,,,,,,,,,,,,,,
44,103.173913,38.91891892,,,,,,,,,,,,,,,,,,,,
44,101.6086957,49.18918919,,,,,,,,,,,,,,,,,,,,
45,109.5652174,48.51351351,,,,,,,,,,,,,,,,,,,,
45,103.173913,38.91891892,,,,,,,,,,,,,,,,,,,,
45,101.8695652,49.05405405,,,,,,,,,,,,,,,,,,,,
46,109.6956522,48.51351351,,,,,,,,,,,,,,,,,,,,
46,103.173913,39.18918919,,,,,,,,,,,,,,,,,,,,
46,102,49.05405405,,,,,,,,,,,,,,,,,,,,
47,103.4347826,39.05405405,,,,,,,,,,,,,,,,,,,,
47,102.1304348,46.48648649,,,,,,,,,,,,,,,,,,,,
47,102.2608696,49.05405405,,,,,,,,,,,,,,,,,,,,
47,109.4347826,48.37837838,,,,,,,,,,,,,,,,,,,,
48,103.4347826,39.05405405,,,,,,,,,,,,,,,,,,,,
48,102.1304348,46.35135135,,,,,,,,,,,,,,,,,,,,
48,102.3913043,49.05405405,,,,,,,,,,,,,,,,,,,,
48,109.6956522,48.10810811,,,,,,,,,,,,,,,,,,,,
49,103.4347826,39.05405405,,,,,,,,,,,,,,,,,,,,
49,102.3913043,46.21621622,,,,,,,,,,,,,,,,,,,,
49,102.6521739,48.91891892,,,,,,,,,,,,,,,,,,,,
49,109.9565217,47.83783784,,,,,,,,,,,,,,,,,,,,
50,103.0434783,39.72972973,,,,,,,,,,,,,,,,,,,,
50,102,49.59459459,,,,,,,,,,,,,,,,,,,,
50,102.5217391,46.08108108,,,,,,,,,,,,,,,,,,,,
50,110.3478261,47.83783784,,,,,,,,,,,,,,,,,,,,
50,103.173913,22.2972973,,,,,,,,,,,,,,,,,,,,
50,110.3478261,41.48648649,,,,,,,,,,,,,,,,,,,,
51,103.3043478,39.45945946,,,,,,,,,,,,,,,,,,,,
51,102,49.59459459,,,,,,,,,,,,,,,,,,,,
51,102.6521739,45.94594595,,,,,,,,,,,,,,,,,,,,
51,110.4782609,47.7027027,,,,,,,,,,,,,,,,,,,,
51,103.173913,22.56756757,,,,,,,,,,,,,,,,,,,,
51,110.3478261,41.48648649,,,,,,,,,,,,,,,,,,,,
52,103.4347826,39.59459459,,,,,,,,,,,,,,,,,,,,
52,102.1304348,49.86486486,,,,,,,,,,,,,,,,,,,,
52,102.7826087,45.94594595,,,,,,,,,,,,,,,,,,,,
52,110.4782609,47.83783784,,,,,,,,,,,,,,,,,,,,
52,103.4347826,22.7027027,,,,,,,,,,,,,,,,,,,,
52,110.4782609,41.62162162,,,,,,,,,,,,,,,,,,,,
53,103.5652174,38.91891892,,,,,,,,,,,,,,,,,,,,
53,103.4347826,23.37837838,,,,,,,,,,,,,,,,,,,,
53,110.6086957,47.56756757,,,,,,,,,,,,,,,,,,,,
53,102.6521739,46.75675676,,,,,,,,,,,,,,,,,,,,
53,102.7826087,48.91891892,,,,,,,,,,,,,,,,,,,,
53,110.3478261,41.62162162,,,,,,,,,,,,,,,,,,,,
54,103.6956522,39.05405405,,,,,,,,,,,,,,,,,,,,
54,103.826087,23.10810811,,,,,,,,,,,,,,,,,,,,
54,110.7391304,47.43243243,,,,,,,,,,,,,,,,,,,,
54,102.9130435,46.62162162,,,,,,,,,,,,,,,,,,,,
54,102.9130435,49.05405405,,,,,,,,,,,,,,,,,,,,
54,110.4782609,41.62162162,,,,,,,,,,,,,,,,,,,,
55,103.6956522,39.05405405,,,,,,,,,,,,,,,,,,,,
55,103.9565217,23.24324324,,,,,,,,,,,,,,,,,,,,
55,110.7391304,47.43243243,,,,,,,,,,,,,,,,,,,,
55,103.0434783,46.48648649,,,,,,,,,,,,,,,,,,,,
55,103.173913,48.91891892,,,,,,,,,,,,,,,,,,,,
55,110.4782609,41.62162162,,,,,,,,,,,,,,,,,,,,
56,102.9130435,40.67567568,,,,,,,,,,,,,,,,,,,,
56,103.6956522,25,,,,,,,,,,,,,,,,,,,,
56,111,46.89189189,,,,,,,,,,,,,,,,,,,,
56,103.0434783,49.45945946,,,,,,,,,,,,,,,,,,,,
57,103.0434783,40.67567568,,,,,,,,,,,,,,,,,,,,
57,103.9565217,25,,,,,,,,,,,,,,,,,,,,
57,111.1304348,46.75675676,,,,,,,,,,,,,,,,,,,,
57,103.173913,49.45945946,,,,,,,,,,,,,,,,,,,,
58,103.0434783,40.94594595,,,,,,,,,,,,,,,,,,,,
58,103.9565217,25.54054054,,,,,,,,,,,,,,,,,,,,
58,111.2608696,46.62162162,,,,,,,,,,,,,,,,,,,,
58,103.3043478,49.59459459,,,,,,,,,,,,,,,,,,,,
59,104.2173913,39.59459459,,,,,,,,,,,,,,,,,,,,
59,105,23.51351351,,,,,,,,,,,,,,,,,,,,
59,102.9130435,50.27027027,,,,,,,,,,,,,,,,,,,,
59,103.0434783,47.43243243,,,,,,,,,,,,,,,,,,,,
59,111.1304348,46.75675676,,,,,,,,,,,,,,,,,,,,
60,104.2173913,39.59459459,,,,,,,,,,,,,,,,,,,,
60,105.3913043,23.37837838,,,,,,,,,,,,,,,,,,,,
60,103.0434783,50,,,,,,,,,,,,,,,,,,,,
60,103.4347826,47.16216216,,,,,,,,,,,,,,,,,,,,
60,111.2608696,46.62162162,,,,,,,,,,,,,,,,,,,,
61,104.3478261,39.59459459,,,,,,,,,,,,,,,,,,,,
61,105.6521739,23.37837838,,,,,,,,,,,,,,,,,,,,
61,103.173913,50,,,,,,,,,,,,,,,,,,,,
61,103.5652174,47.16216216,,,,,,,,,,,,,,,,,,,,
61,111.2608696,46.62162162,,,,,,,,,,,,,,,,,,,,
62,103.9565217,40,,,,,,,,,,,,,,,,,,,,
62,105.7826087,23.24324324,,,,,,,,,,,,,,,,,,,,
62,103.826087,49.45945946,,,,,,,,,,,,,,,,,,,,
62,111.9130435,45.67567568,,,,,,,,,,,,,,,,,,,,
63,104.2173913,39.72972973,,,,,,,,,,,,,,,,,,,,
63,105.7826087,23.51351351,,,,,,,,,,,,,,,,,,,,
63,103.9565217,49.32432432,,,,,,,,,,,,,,,,,,,,
63,112.0434783,45.40540541,,,,,,,,,,,,,,,,,,,,
64,104.3478261,39.86486486,,,,,,,,,,,,,,,,,,,,
64,105.9130435,24.05405405,,,,,,,,,,,,,,,,,,,,
64,103.9565217,49.45945946,,,,,,,,,,,,,,,,,,,,
64,112.173913,45.40540541,,,,,,,,,,,,,,,,,,,,
65,104.7391304,39.86486486,,,,,,,,,,,,,,,,,,,,
65,111.3913043,46.62162162,,,,,,,,,,,,,,,,,,,,
65,104.7391304,48.51351351,,,,,,,,,,,,,,,,,,,,
65,105.3913043,26.08108108,,,,,,,,,,,,,,,,,,,,
66,105,39.72972973,,,,,,,,,,,,,,,,,,,,
66,111.5217391,46.62162162,,,,,,,,,,,,,,,,,,,,
66,105.1304348,47.97297297,,,,,,,,,,,,,,,,,,,,
66,105.6521739,25.94594595,,,,,,,,,,,,,,,,,,,,
67,105.1304348,39.59459459,,,,,,,,,,,,,,,,,,,,
67,111.3913043,46.62162162,,,,,,,,,,,,,,,,,,,,
67,105.2608696,47.7027027,,,,,,,,,,,,,,,,,,,,
67,105.7826087,25.94594595,,,,,,,,,,,,,,,,,,,,
68,105.6521739,38.51351351,,,,,,,,,,,,,,,,,,,,
68,104.8695652,47.02702703,,,,,,,,,,,,,,,,,,,,
68,105.5217391,27.16216216,,,,,,,,,,,,,,,,,,,,
68,109.9565217,41.89189189,,,,,,,,,,,,,,,,,,,,
68,111.2608696,46.89189189,,,,,,,,,,,,,,,,,,,,
69,105.9130435,38.24324324,,,,,,,,,,,,,,,,,,,,
69,105.1304348,46.89189189,,,,,,,,,,,,,,,,,,,,
69,105.6521739,27.16216216,,,,,,,,,,,,,,,,,,,,
69,109.9565217,41.75675676,,,,,,,,,,,,,,,,,,,,
69,111.2608696,46.75675676,,,,,,,,,,,,,,,,,,,,
70,106.0434783,38.24324324,,,,,,,,,,,,,,,,,,,,
70,105.2608696,46.62162162,,,,,,,,,,,,,,,,,,,,
70,105.6521739,27.7027027,,,,,,,,,,,,,,,,,,,,
70,109.9565217,41.62162162,,,,,,,,,,,,,,,,,,,,
70,111.3913043,46.75675676,,,,,,,,,,,,,,,,,,,,
71,104.8695652,47.83783784,,,,,,,,,,,,,,,,,,,,
71,105.7826087,39.59459459,,,,,,,,,,,,,,,,,,,,
71,109.9565217,41.62162162,,,,,,,,,,,,,,,,,,,,
71,105.9130435,27.02702703,,,,,,,,,,,,,,,,,,,,
72,105,47.7027027,,,,,,,,,,,,,,,,,,,,
72,105.9130435,39.72972973,,,,,,,,,,,,,,,,,,,,
72,110.0869565,41.35135135,,,,,,,,,,,,,,,,,,,,
72,106.0434783,27.43243243,,,,,,,,,,,,,,,,,,,,
73,105,47.7027027,,,,,,,,,,,,,,,,,,,,
73,105.9130435,39.86486486,,,,,,,,,,,,,,,,,,,,
73,110.0869565,41.21621622,,,,,,,,,,,,,,,,,,,,
73,106.3043478,27.56756757,,,,,,,,,,,,,,,,,,,,
74,104.8695652,47.7027027,,,,,,,,,,,,,,,,,,,,
74,106.0434783,39.72972973,,,,,,,,,,,,,,,,,,,,
74,106.5652174,27.7027027,,,,,,,,,,,,,,,,,,,,
74,110.0869565,41.21621622,,,,,,,,,,,,,,,,,,,,
75,104.8695652,47.7027027,,,,,,,,,,,,,,,,,,,,
75,106.173913,39.45945946,,,,,,,,,,,,,,,,,,,,
75,106.6956522,27.56756757,,,,,,,,,,,,,,,,,,,,
75,110.2173913,40.94594595,,,,,,,,,,,,,,,,,,,,
76,105,47.43243243,,,,,,,,,,,,,,,,,,,,
76,106.4347826,39.32432432,,,,,,,,,,,,,,,,,,,,
76,106.826087,27.83783784,,,,,,,,,,,,,,,,,,,,
76,110.4782609,40.67567568,,,,,,,,,,,,,,,,,,,,
77,105.3913043,46.89189189,,,,,,,,,,,,,,,,,,,,
77,105.9130435,40.27027027,,,,,,,,,,,,,,,,,,,,
77,106.6956522,28.91891892,,,,,,,,,,,,,,,,,,,,
77,109.9565217,41.62162162,,,,,,,,,,,,,,,,,,,,
78,105.6521739,46.48648649,,,,,,,,,,,,,,,,,,,,
78,105.9130435,40.27027027,,,,,,,,,,,,,,,,,,,,
78,106.6956522,29.45945946,,,,,,,,,,,,,,,,,,,,
78,110.0869565,41.35135135,,,,,,,,,,,,,,,,,,,,
79,105.7826087,46.21621622,,,,,,,,,,,,,,,,,,,,
79,105.9130435,40.40540541,,,,,,,,,,,,,,,,,,,,
