x_Point,y_Point,PressureRating,Team,TimeStamp
55,46,0,Blue,16.18
55,46,0,Blue,16.2
55,46,0,Blue,16.22
55,46,0,Blue,16.23
56,46,0,Blue,16.25
56,46,0,Blue,16.25
56,46,0,Blue,16.28
56,46,0,Blue,16.28
55,46,0,Blue,16.32
55,46,0,Blue,16.33
55,46,0,Blue,16.35
55,46,0,Blue,16.37
55,46,0,Blue,16.38
55,46,0,Blue,16.4
55,47,0,Blue,16.42
55,47,0,Blue,16.43
55,47,0,Blue,16.45
55,47,0,Blue,16.47
55,47,0,Blue,16.47
55,46,0,Blue,16.48
55,47,0,Blue,16.5
55,47,0,Blue,16.52
55,47,0,Blue,16.53
55,47,0,Blue,16.55
55,47,0,Blue,16.57
55,47,0,Blue,16.58
55,47,0,Blue,16.58
55,47,0,Blue,16.6
55,47,0,Blue,16.62
55,47,0,Blue,16.63
55,47,0,Blue,16.65
55,47,0,Blue,16.67
55,47,0,Blue,16.68
55,47,0,Blue,16.7
55,47,0,Blue,16.72
55,47,0,Blue,16.72
55,47,0,Blue,16.73
55,47,1,Blue,16.75
55,47,1,Blue,16.77
55,47,1,Blue,16.78
55,47,1,Blue,16.78
55,47,1,Blue,16.8
55,47,1,Blue,16.82
55,47,1,Blue,16.83
55,47,1,Blue,16.85
54,47,0,Blue,16.87
55,47,1,Blue,16.88
55,47,1,Blue,16.88
54,47,1,Blue,16.9
54,47,1,Blue,16.92
54,47,1,Blue,16.93
54,47,1,Blue,16.95
54,47,1,Blue,16.95
54,47,1,Blue,16.97
54,47,1,Blue,16.98
54,47,2,Blue,17.0
54,47,2,Blue,17.02
54,47,2,Blue,17.03
54,47,2,Blue,17.05
54,47,2,Blue,17.05
54,47,2,Blue,17.07
54,47,2,Blue,17.08
50,48,1,Red,17.1
54,47,3,Blue,17.12
50,47,1,Red,17.13
54,47,3,Blue,17.15
54,47,3,Blue,17.17
51,47,2,Red,17.18
51,47,2,Red,17.18
51,47,2,Red,17.2
51,47,2,Red,17.22
51,47,2,Red,17.23
51,47,2,Red,17.25
51,47,2,Red,17.25
51,47,3,Red,17.27
55,47,3,Red,17.28
55,47,3,Red,17.32
55,47,3,Red,17.33
55,47,3,Red,17.33
55,47,2,Red,17.35
55,47,2,Red,17.37
55,47,2,Red,17.38
53,49,3,Blue,17.4
53,50,2,Blue,17.42
54,47,4,Red,17.43
53,50,2,Blue,17.43
52,50,2,Blue,17.45
52,50,2,Blue,17.47
52,50,2,Blue,17.48
52,50,3,Blue,17.5
52,50,3,Blue,17.52
52,50,3,Blue,17.52
52,50,2,Blue,17.53
52,50,2,Blue,17.55
52,50,2,Blue,17.57
61,36,0,Blue,17.57
52,51,2,Blue,17.58
61,36,0,Blue,17.58
52,51,2,Blue,17.58
52,51,2,Blue,17.6
52,51,2,Blue,17.62
48,55,0,Blue,17.63
48,55,0,Blue,17.65
48,55,0,Blue,17.67
48,55,0,Blue,17.67
48,55,0,Blue,17.68
48,55,0,Blue,17.7
47,55,0,Blue,17.72
47,55,0,Blue,17.73
47,55,0,Blue,17.75
47,55,0,Blue,17.75
47,55,0,Blue,17.77
46,55,0,Blue,17.78
46,55,0,Blue,17.8
