Starting_Point,Ending_Point,PassCompletion,Team,TS
"(59, 62)","(59, 62)",no pass attempted,Blue,8.54
"(59, 62)","(60, 62)",pass completed,Blue,8.54
"(60, 62)","(59, 62)",pass completed,Blue,8.56
"(59, 62)","(60, 62)",pass completed,Blue,8.56
"(60, 62)","(60, 62)",no pass attempted,Blue,8.59
"(60, 62)","(60, 62)",no pass attempted,Blue,8.59
"(60, 62)","(60, 62)",no pass attempted,Blue,8.64
"(60, 62)","(60, 62)",no pass attempted,Blue,8.64
"(60, 62)","(60, 62)",no pass attempted,Blue,8.66
"(60, 62)","(68, 55)",pass incomplete,Blue,8.66
"(68, 55)","(61, 62)",pass completed,Red,8.86
"(61, 62)","(68, 55)",pass completed,Red,8.86
"(68, 55)","(68, 55)",no pass attempted,Red,8.89
"(68, 55)","(68, 55)",no pass attempted,Red,8.89
"(68, 55)","(68, 55)",no pass attempted,Red,8.93
"(68, 55)","(73, 58)",pass incomplete,Red,8.93
"(73, 58)","(68, 55)",pass completed,Blue,8.96
"(68, 55)","(68, 55)",pass incomplete,Blue,8.96
"(68, 55)","(68, 54)",pass completed,Red,8.99
"(68, 54)","(68, 55)",pass completed,Red,8.99
"(68, 55)","(68, 55)",no pass attempted,Red,9.03
"(68, 55)","(68, 55)",no pass attempted,Red,9.03
"(68, 55)","(68, 55)",no pass attempted,Red,9.06
"(68, 55)","(68, 55)",no pass attempted,Red,9.06
"(68, 55)","(68, 56)",pass completed,Red,9.09
"(68, 56)","(68, 55)",pass completed,Red,9.09
"(68, 55)","(68, 55)",no pass attempted,Red,9.13
"(68, 55)","(68, 56)",pass completed,Red,9.13
"(68, 56)","(68, 56)",no pass attempted,Red,9.16
"(68, 56)","(68, 57)",pass completed,Red,9.16
"(68, 57)","(68, 56)",pass completed,Red,9.18
"(68, 56)","(69, 57)",pass completed,Red,9.18
"(69, 57)","(68, 57)",pass completed,Red,9.24
"(68, 57)","(69, 57)",pass completed,Red,9.24
"(69, 57)","(69, 57)",no pass attempted,Red,9.28
"(69, 57)","(73, 57)",pass incomplete,Red,9.28
"(73, 57)","(69, 57)",pass completed,Blue,9.31
"(69, 57)","(73, 56)",pass completed,Blue,9.31
"(73, 56)","(73, 57)",pass completed,Blue,9.34
"(73, 57)","(73, 56)",pass completed,Blue,9.34
"(73, 56)","(73, 56)",no pass attempted,Blue,9.36
"(73, 56)","(73, 56)",no pass attempted,Blue,9.36
"(73, 56)","(73, 56)",no pass attempted,Blue,9.39
"(73, 56)","(88, 45)",pass completed,Blue,9.39
"(88, 45)","(73, 56)",pass completed,Blue,10.26
"(73, 56)","(77, 48)",pass completed,Blue,10.26
"(77, 48)","(77, 48)",no pass attempted,Blue,11.44
"(77, 48)","(71, 30)",pass incomplete,Blue,11.44
"(71, 30)","(77, 48)",pass completed,Red,11.63
"(77, 48)","(71, 30)",pass completed,Red,11.63
"(71, 30)","(71, 30)",no pass attempted,Red,11.66
"(71, 30)","(72, 31)",pass completed,Red,11.66
"(72, 31)","(72, 30)",pass completed,Red,11.7
"(72, 30)","(79, 27)",pass completed,Red,11.7
"(79, 27)","(72, 30)",pass completed,Red,12.58
"(72, 30)","(79, 27)",pass completed,Red,12.58
"(79, 27)","(79, 27)",no pass attempted,Red,12.61
"(79, 27)","(79, 27)",no pass attempted,Red,12.61
"(79, 27)","(79, 27)",no pass attempted,Red,12.63
"(79, 27)","(79, 27)",no pass attempted,Red,12.63
"(79, 27)","(79, 27)",no pass attempted,Red,12.66
"(79, 27)","(79, 27)",no pass attempted,Red,12.66
"(79, 27)","(79, 26)",pass completed,Red,12.68
"(79, 26)","(80, 26)",pass completed,Red,12.68
"(80, 26)","(79, 26)",pass completed,Red,12.71
"(79, 26)","(80, 26)",pass completed,Red,12.71
"(80, 26)","(79, 26)",pass completed,Red,12.75
"(79, 26)","(80, 26)",pass completed,Red,12.75
"(80, 26)","(80, 26)",no pass attempted,Red,12.76
"(80, 26)","(81, 26)",pass completed,Red,12.76
"(81, 26)","(81, 29)",pass completed,Red,12.88
"(81, 29)","(81, 26)",pass completed,Red,12.88
"(81, 26)","(81, 26)",no pass attempted,Red,12.9
"(81, 26)","(81, 26)",no pass attempted,Red,12.9
"(81, 26)","(81, 26)",no pass attempted,Red,12.93
"(81, 26)","(81, 26)",no pass attempted,Red,12.93
"(81, 26)","(81, 26)",no pass attempted,Red,12.96
"(81, 26)","(81, 26)",no pass attempted,Red,12.96
"(81, 26)","(81, 26)",no pass attempted,Red,12.98
"(81, 26)","(82, 26)",pass completed,Red,12.98
"(82, 26)","(81, 26)",pass completed,Red,13.01
"(81, 26)","(82, 26)",pass completed,Red,13.01
"(82, 26)","(82, 26)",no pass attempted,Red,13.03
"(82, 26)","(82, 25)",pass completed,Red,13.03
"(82, 25)","(82, 25)",no pass attempted,Red,13.06
"(82, 25)","(82, 25)",no pass attempted,Red,13.06
"(82, 25)","(82, 25)",no pass attempted,Red,13.08
"(82, 25)","(83, 25)",pass completed,Red,13.08
"(83, 25)","(82, 25)",pass completed,Red,13.26
"(82, 25)","(83, 25)",pass completed,Red,13.26
"(83, 25)","(83, 26)",pass completed,Red,13.3
"(83, 26)","(83, 25)",pass completed,Red,13.3
"(83, 25)","(83, 25)",no pass attempted,Red,13.31
"(83, 25)","(83, 26)",pass completed,Red,13.31
"(83, 26)","(83, 26)",no pass attempted,Red,13.35
"(83, 26)","(79, 46)",pass incomplete,Red,13.35
"(79, 46)","(83, 26)",pass completed,Blue,13.58
"(83, 26)","(95, 36)",pass completed,Blue,13.58
"(95, 36)","(79, 46)",pass completed,Blue,13.75
"(79, 46)","(95, 36)",pass completed,Blue,13.75
"(95, 36)","(96, 36)",pass completed,Blue,13.78
"(96, 36)","(95, 36)",pass completed,Blue,13.78
"(95, 36)","(95, 36)",no pass attempted,Blue,13.81
"(95, 36)","(95, 36)",no pass attempted,Blue,13.81
"(95, 36)","(95, 36)",no pass attempted,Blue,13.85
"(95, 36)","(94, 37)",pass completed,Blue,13.85
"(94, 37)","(94, 37)",no pass attempted,Blue,13.91
"(94, 37)","(94, 37)",no pass attempted,Blue,13.91
"(94, 37)","(94, 37)",no pass attempted,Blue,13.95
"(94, 37)","(93, 37)",pass completed,Blue,13.95
"(93, 37)","(93, 37)",no pass attempted,Blue,13.98
"(93, 37)","(93, 37)",no pass attempted,Blue,13.98
"(93, 37)","(93, 37)",no pass attempted,Blue,14.05
"(93, 37)","(92, 37)",pass completed,Blue,14.05
"(92, 37)","(92, 37)",no pass attempted,Blue,14.1
"(92, 37)","(91, 37)",pass completed,Blue,14.1
"(91, 37)","(92, 37)",pass completed,Blue,14.13
"(92, 37)","(91, 37)",pass completed,Blue,14.13
"(91, 37)","(91, 37)",no pass attempted,Blue,14.15
"(91, 37)","(91, 37)",no pass attempted,Blue,14.15
"(91, 37)","(91, 37)",no pass attempted,Blue,14.18
"(91, 37)","(90, 37)",pass completed,Blue,14.18
"(90, 37)","(91, 38)",pass completed,Blue,14.21
"(91, 38)","(90, 37)",pass completed,Blue,14.21
"(90, 37)","(90, 37)",no pass attempted,Blue,14.23
"(90, 37)","(90, 37)",no pass attempted,Blue,14.23
